Category,Food,Carbs_per_serving
RICE & NOODLES,Rice (White),15
RICE & NOODLES,Rice (Brown),45
RICE & NOODLES,Rice porridge,42
RICE & NOODLES,Rice noodles,50
BREADS,White bread,12
BREADS,Whole wheat bread,10
BREADS,Roti,15
BREADS,Chapati,16
BISCUITS,Digestive biscuits,20
BISCUITS,Cream biscuits,25
CEREALS,Cornflakes,80
CEREALS,Oats,60
STARCHY VEGETABLES,Potato,30
STARCHY VEGETABLES,	Sweet Potato,25
MILK AND ALTERNATIVES,Milk,12
MILK AND ALTERNATIVES,Yogurt,15
FRUITS,Apple,15
FRUITS,Banana,27
FRUITS,Orange,12
NUTS,Almonds,6
NUTS,Cashews,9
NUTS,	Walnuts,7